identificador,grupo,exercicio,avaliacao_a,avaliacao_b,avaliacao,consenso,tem_erro,n_erros_temporais,duracao_erro_s
G1A-CTK-R1-Brest-022,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.6
G1A-CTK-R1-Brest-038,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-042,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,9.16
G1A-CTK-R1-Brest-054,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.84
G1A-CTK-R1-Brest-056,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,4.239999999999999
G1A-CTK-R1-Brest-057,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-061,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,5.96
G1A-CTK-R1-Brest-062,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-071,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.6000000000000005
G1A-CTK-R1-Brest-073,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-095,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-099,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,8.52
G1A-CTK-R1-Brest-104,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R1-Brest-108,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R2-Brest-008,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,4,8.293
G1A-CTK-R2-Brest-014,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.3999999999999995
G1A-CTK-R2-Brest-020,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R2-Brest-024,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,17.08
G1A-CTK-R2-Brest-030,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.48
G1A-CTK-R2-Brest-032,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,5.5200000000000005
G1A-CTK-R2-Brest-036,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.199999999999999
G1A-CTK-R2-Brest-048,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,5.76
G1A-CTK-R2-Brest-055,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.64
G1A-CTK-R2-Brest-065,G1A,CTK,Incorrect,Incomplete,Incorrect,False,True,2,8.16
G1A-CTK-R2-Brest-070,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,8.8
G1A-CTK-R2-Brest-078,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,8.0
G1A-CTK-R2-Brest-086,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,8.2
G1A-CTK-R2-Brest-107,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,5.4
G1A-CTK-R3-Brest-002,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,6.8000000000000025
G1A-CTK-R3-Brest-011,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R3-Brest-033,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R3-Brest-039,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R3-Brest-064,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R3-Brest-066,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,18.28
G1A-CTK-R3-Brest-067,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.359999999999999
G1A-CTK-R3-Brest-072,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,3,6.8
G1A-CTK-R3-Brest-083,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,3,17.080000000000002
G1A-CTK-R3-Brest-084,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.92
G1A-CTK-R3-Brest-092,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,15.360000000000003
G1A-CTK-R3-Brest-094,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,2.2800000000000002
G1A-CTK-R3-Brest-102,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R3-Brest-106,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-007,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-010,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-019,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-041,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-044,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,12.84
