identificador,grupo,exercicio,avaliacao,avaliacao_a,avaliacao_b,consenso,tem_erro,escore_desvio,distancia_controle,desvio_detectado,escore_cena,escore_risco,alerta,fracao_com_pessoa,objetos,n_erros_temporais,duracao_erro_s
G1A-CTK-R2-Brest-008,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7596649537153898,0.8778578232677949,True,0.20999999999999996,0.7046984583438508,True,0.8,cadeira|outro:tv,4,8.293
G1A-CTK-R2-Brest-048,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.766772262841729,0.9134899506987986,True,0.0,0.6900950365575561,True,1.0,cadeira,2,5.76
G1A-CTK-R1-Brest-099,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7582938743993634,1.4012831631927798,True,0.0,0.6824644869594271,True,1.0,,2,8.52
G1A-CTK-R1-Brest-061,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7327499008464015,1.321112599042612,True,0.15999999999999998,0.6754749107617614,True,0.8,,2,5.96
G1A-CTK-R2-Brest-036,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7205674658255412,0.6258903571745552,True,0.15999999999999998,0.6645107192429871,True,0.8,cadeira,2,7.199999999999999
G1A-CTK-R2-Brest-030,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7342010727733198,0.9103602864709818,True,0.0,0.6607809654959879,True,1.0,cadeira,2,7.48
G1A-CTK-R6-Roscoff-079,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6853814715818406,1.683160467133107,True,0.42000000000000004,0.6588433244236566,True,0.6,outro:bicycle|outro:tv,2,14.479999999999999
G1A-CTK-R1-Brest-056,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7292739209688467,1.5721102207810425,True,0.0,0.656346528871962,True,1.0,,2,4.239999999999999
G1A-CTK-R2-Brest-086,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7223016591317124,1.14505669939346,True,0.05,0.6550714932185412,True,1.0,outro:refrigerator,2,8.2
G1A-CTK-R6-Roscoff-101,G1A,CTK,Correct,Correct,Correct,True,False,0.6329121621098,1.7999284163882328,True,0.8500000000000001,0.6546209458988199,True,0.0,outro:tv,0,0.0
G1A-CTK-R6-Roscoff-040,G1A,CTK,Incorrect,Incorrect,Correct,False,True,0.6626615776893366,1.7580998766252975,True,0.58,0.654395419920403,True,0.4,outro:bicycle|outro:tv,2,6.760000000000002
G1A-CTK-R2-Brest-014,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.7113213511176186,0.8718985078408151,True,0.0,0.6401892160058568,True,1.0,cadeira,2,7.3999999999999995
G1A-CTK-R3-Brest-002,G1A,CTK,Incorrect,Incorrect,Correct,False,True,0.7058272439155039,1.2115932657811614,True,0.0,0.6352445195239536,True,1.0,,2,6.8000000000000025
G1A-CTK-R2-Brest-065,G1A,CTK,Incorrect,Incorrect,Incomplete,False,True,0.6913444053108878,1.1654457119063242,True,0.05,0.6272099647797991,True,1.0,outro:backpack,2,8.16
G1A-CTK-R2-Brest-032,G1A,CTK,Incorrect,Incorrect,Correct,False,True,0.6823848340623794,1.026677276381401,True,0.05,0.6191463506561414,True,1.0,outro:refrigerator,2,5.5200000000000005
G1A-CTK-R1-Brest-104,G1A,CTK,Correct,Correct,Correct,True,False,0.6672011305825746,0.7182103101319703,True,0.05,0.6054810175243172,True,1.0,outro:umbrella,0,0.0
G1A-CTK-R2-Brest-078,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6686621213133103,1.1557051551946993,True,0.0,0.6017959091819792,True,1.0,cadeira,2,8.0
G1A-CTK-R2-Brest-020,G1A,CTK,Correct,Correct,Correct,True,False,0.6606409355129675,0.7266463936805013,True,0.05,0.5995768419616708,True,1.0,outro:refrigerator,0,0.0
G1A-CTK-R2-Brest-055,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6566096774653906,1.3431473245813044,True,0.05,0.5959487097188515,True,1.0,outro:refrigerator,2,6.64
G1A-CTK-R3-Brest-102,G1A,CTK,Incorrect,Correct,Incorrect,False,True,0.6520790409714264,1.356547246839332,True,0.0,0.5868711368742838,True,1.0,,0,0.0
G1A-CTK-R6-Roscoff-017,G1A,CTK,Incorrect,Incorrect,Correct,False,True,0.5704838086293073,1.783481251329037,True,0.6900000000000002,0.5824354277663766,True,0.2,outro:tv,2,7.200000000000001
G1A-CTK-R2-Brest-070,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6443207786188182,1.2090750854790568,True,0.0,0.5798887007569364,True,1.0,cadeira,2,8.8
G1A-CTK-R4-Roscoff-103,G1A,CTK,Correct,Correct,Correct,True,False,0.6230690684545552,1.1276262798070122,True,0.15999999999999998,0.5767621616090998,True,0.8,cadeira,0,0.0
G1A-CTK-R1-Brest-071,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5919959070324519,0.940445461964848,True,0.32000000000000006,0.5647963163292067,True,0.6,,2,7.6000000000000005
G1A-CTK-R1-Brest-022,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6260909256863122,0.9696516327280059,True,0.0,0.563481833117681,True,1.0,,2,6.6
G1A-CTK-R1-Brest-042,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6256764672227103,1.41553065722633,True,0.0,0.5631088205004393,True,1.0,,2,9.16
G1A-CTK-R1-Brest-054,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6077289211829529,2.095915476218177,True,0.15999999999999998,0.5629560290646576,True,0.8,,2,7.84
G1A-CTK-R1-Brest-073,G1A,CTK,Correct,Correct,Correct,True,False,0.6204273896139105,0.608300929686653,True,0.0,0.5583846506525195,True,1.0,,0,0.0
G1A-CTK-R6-Roscoff-100,G1A,CTK,Correct,Correct,Correct,True,False,0.5364726413723537,1.705108054339651,True,0.6900000000000002,0.5518253772351184,True,0.2,outro:tv,0,0.0
G1A-CTK-R2-Brest-024,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.6116742046787749,0.9015457651885815,True,0.0,0.5505067842108974,True,1.0,cadeira,2,17.08
G1A-CTK-R6-Roscoff-006,G1A,CTK,Correct,Correct,Correct,True,False,0.5888647623432947,1.5636567380467319,True,0.15999999999999998,0.5459782861089653,True,0.8,cadeira,0,0.0
G1A-CTK-R3-Brest-033,G1A,CTK,Incorrect,Correct,Incorrect,False,True,0.6056264433941214,0.9400129526382915,True,0.0,0.5450637990547093,True,1.0,,0,0.0
G1A-CTK-R2-Brest-107,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5974381284103613,1.092693954557513,True,0.0,0.5376943155693251,True,1.0,cadeira,2,5.4
G1A-CTK-R6-Roscoff-031,G1A,CTK,Incorrect,Incorrect,Correct,False,True,0.5114218414326744,1.6782784410768292,True,0.7400000000000001,0.5342796572894071,True,0.2,outro:bicycle|outro:tv,2,8.879999999999999
G1A-CTK-R3-Brest-067,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5866382112048771,1.1322654112965538,True,0.05,0.5329743900843894,True,1.0,outro:refrigerator,2,6.359999999999999
G1A-CTK-R6-Roscoff-027,G1A,CTK,Incorrect,Correct,Incorrect,False,True,0.5419363339728532,1.7109114664210556,True,0.37000000000000005,0.5247427005755679,True,0.6,outro:tv,0,0.0
G1A-CTK-R5-Roscoff-085,G1A,CTK,Correct,Correct,Correct,True,False,0.5651139420809097,1.2753098841206858,True,0.05,0.5136025478728188,True,1.0,outro:tv,0,0.0
G1A-CTK-R3-Brest-094,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5608087010111219,1.0073789090183707,True,0.05,0.5097278309100097,True,1.0,outro:refrigerator,2,2.2800000000000002
G1A-CTK-R3-Brest-072,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5550795850775404,1.220602932115026,True,0.0,0.4995716265697864,False,1.0,,3,6.8
G1A-CTK-R3-Brest-084,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,0.5494735990937629,1.1320927752142655,True,0.05,0.49952623918438666,False,1.0,outro:refrigerator,2,6.92
G1A-CTK-R1-Brest-108,G1A,CTK,Correct,Correct,Correct,True,False,0.5402495450180269,0.8454987113054963,True,0.05,0.49122459051622425,False,1.0,outro:umbrella,0,0.0
