identificador,grupo,exercicio,avaliacao,escore_risco,alerta,desvio_detectado
G1A-CTK-R2-Brest-008,G1A,CTK,Incorrect,0.7046984583438508,True,True
G1A-CTK-R2-Brest-048,G1A,CTK,Incorrect,0.6900950365575561,True,True
G1A-CTK-R1-Brest-099,G1A,CTK,Incorrect,0.6824644869594271,True,True
G1A-CTK-R1-Brest-061,G1A,CTK,Incorrect,0.6754749107617614,True,True
G1A-CTK-R2-Brest-036,G1A,CTK,Incorrect,0.6645107192429871,True,True
G1A-CTK-R2-Brest-030,G1A,CTK,Incorrect,0.6607809654959879,True,True
G1A-CTK-R6-Roscoff-079,G1A,CTK,Incorrect,0.6588433244236566,True,True
G1A-CTK-R1-Brest-056,G1A,CTK,Incorrect,0.656346528871962,True,True
G1A-CTK-R2-Brest-086,G1A,CTK,Incorrect,0.6550714932185412,True,True
G1A-CTK-R6-Roscoff-101,G1A,CTK,Correct,0.6546209458988199,True,True
G1A-CTK-R6-Roscoff-040,G1A,CTK,Incorrect,0.654395419920403,True,True
G1A-CTK-R2-Brest-014,G1A,CTK,Incorrect,0.6401892160058568,True,True
G1A-CTK-R3-Brest-002,G1A,CTK,Incorrect,0.6352445195239536,True,True
G1A-CTK-R2-Brest-065,G1A,CTK,Incorrect,0.6272099647797991,True,True
G1A-CTK-R2-Brest-032,G1A,CTK,Incorrect,0.6191463506561414,True,True
G1A-CTK-R1-Brest-104,G1A,CTK,Correct,0.6054810175243172,True,True
G1A-CTK-R2-Brest-078,G1A,CTK,Incorrect,0.6017959091819792,True,True
G1A-CTK-R2-Brest-020,G1A,CTK,Correct,0.5995768419616708,True,True
G1A-CTK-R2-Brest-055,G1A,CTK,Incorrect,0.5959487097188515,True,True
G1A-CTK-R3-Brest-102,G1A,CTK,Incorrect,0.5868711368742838,True,True
G1A-CTK-R6-Roscoff-017,G1A,CTK,Incorrect,0.5824354277663766,True,True
G1A-CTK-R2-Brest-070,G1A,CTK,Incorrect,0.5798887007569364,True,True
G1A-CTK-R4-Roscoff-103,G1A,CTK,Correct,0.5767621616090998,True,True
G1A-CTK-R1-Brest-071,G1A,CTK,Incorrect,0.5647963163292067,True,True
G1A-CTK-R1-Brest-022,G1A,CTK,Incorrect,0.563481833117681,True,True
G1A-CTK-R1-Brest-042,G1A,CTK,Incorrect,0.5631088205004393,True,True
G1A-CTK-R1-Brest-054,G1A,CTK,Incorrect,0.5629560290646576,True,True
G1A-CTK-R1-Brest-073,G1A,CTK,Correct,0.5583846506525195,True,True
G1A-CTK-R6-Roscoff-100,G1A,CTK,Correct,0.5518253772351184,True,True
G1A-CTK-R2-Brest-024,G1A,CTK,Incorrect,0.5505067842108974,True,True
G1A-CTK-R6-Roscoff-006,G1A,CTK,Correct,0.5459782861089653,True,True
G1A-CTK-R3-Brest-033,G1A,CTK,Incorrect,0.5450637990547093,True,True
G1A-CTK-R2-Brest-107,G1A,CTK,Incorrect,0.5376943155693251,True,True
G1A-CTK-R6-Roscoff-031,G1A,CTK,Incorrect,0.5342796572894071,True,True
G1A-CTK-R3-Brest-067,G1A,CTK,Incorrect,0.5329743900843894,True,True
G1A-CTK-R6-Roscoff-027,G1A,CTK,Incorrect,0.5247427005755679,True,True
G1A-CTK-R5-Roscoff-085,G1A,CTK,Correct,0.5136025478728188,True,True
G1A-CTK-R3-Brest-094,G1A,CTK,Incorrect,0.5097278309100097,True,True
G1A-CTK-R3-Brest-072,G1A,CTK,Incorrect,0.4995716265697864,False,True
G1A-CTK-R3-Brest-084,G1A,CTK,Incorrect,0.49952623918438666,False,True
G1A-CTK-R1-Brest-108,G1A,CTK,Correct,0.49122459051622425,False,True
G1A-CTK-R3-Brest-106,G1A,CTK,Correct,0.45989761417798847,False,True
G1A-CTK-R5-Roscoff-058,G1A,CTK,Correct,0.43122343435062993,False,False
