identificador,n_frames_yolo,fracao_com_pessoa,conf_pessoa_media,objetos,sem_pessoa_em_algum_frame,escore_cena
G1A-CTK-R1-Brest-022,5,1.0,0.714242446422577,,False,0.0
G1A-CTK-R1-Brest-038,5,0.8,0.7927684187889099,outro:umbrella,True,0.20999999999999996
G1A-CTK-R1-Brest-042,5,1.0,0.8374674558639527,,False,0.0
G1A-CTK-R1-Brest-054,5,0.8,0.7873254120349884,,True,0.15999999999999998
G1A-CTK-R1-Brest-056,5,1.0,0.8076696276664734,,False,0.0
G1A-CTK-R1-Brest-057,5,0.4,0.7764953374862671,,True,0.48
G1A-CTK-R1-Brest-061,5,0.8,0.8152289390563965,,True,0.15999999999999998
G1A-CTK-R1-Brest-062,5,0.8,0.7110626846551895,,True,0.15999999999999998
G1A-CTK-R1-Brest-071,5,0.6,0.8050586581230164,,True,0.32000000000000006
G1A-CTK-R1-Brest-073,5,1.0,0.8381890535354615,,False,0.0
G1A-CTK-R1-Brest-095,5,0.8,0.6839940547943115,,True,0.15999999999999998
G1A-CTK-R1-Brest-099,5,1.0,0.7658306717872619,,False,0.0
G1A-CTK-R1-Brest-104,5,1.0,0.801903510093689,outro:umbrella,False,0.05
G1A-CTK-R1-Brest-108,5,1.0,0.8179432392120362,outro:umbrella,False,0.05
G1A-CTK-R2-Brest-008,5,0.8,0.8489185869693756,cadeira|outro:tv,True,0.20999999999999996
G1A-CTK-R2-Brest-014,5,1.0,0.8215808272361755,cadeira,False,0.0
G1A-CTK-R2-Brest-020,5,1.0,0.7578723788261413,outro:refrigerator,False,0.05
G1A-CTK-R2-Brest-024,5,1.0,0.800567364692688,cadeira,False,0.0
G1A-CTK-R2-Brest-030,5,1.0,0.7977367043495178,cadeira,False,0.0
G1A-CTK-R2-Brest-032,5,1.0,0.7805948853492737,outro:refrigerator,False,0.05
G1A-CTK-R2-Brest-036,5,0.8,0.8776905238628387,cadeira,True,0.15999999999999998
G1A-CTK-R2-Brest-048,5,1.0,0.8437435030937195,cadeira,False,0.0
G1A-CTK-R2-Brest-055,5,1.0,0.8210793614387513,outro:refrigerator,False,0.05
G1A-CTK-R2-Brest-065,5,1.0,0.8652855396270752,outro:backpack,False,0.05
G1A-CTK-R2-Brest-070,5,1.0,0.8676535248756408,cadeira,False,0.0
G1A-CTK-R2-Brest-078,5,1.0,0.8579770684242248,cadeira,False,0.0
G1A-CTK-R2-Brest-086,5,1.0,0.7693126916885376,outro:refrigerator,False,0.05
G1A-CTK-R2-Brest-107,5,1.0,0.8669642567634582,cadeira,False,0.0
G1A-CTK-R3-Brest-002,5,1.0,0.8227504372596741,,False,0.0
G1A-CTK-R3-Brest-011,5,1.0,0.846977961063385,,False,0.0
G1A-CTK-R3-Brest-033,5,1.0,0.7606463193893432,,False,0.0
G1A-CTK-R3-Brest-039,5,1.0,0.8745474696159363,outro:backpack,False,0.05
G1A-CTK-R3-Brest-064,5,0.8,0.8044969886541367,,True,0.15999999999999998
G1A-CTK-R3-Brest-066,5,1.0,0.8583455085754395,outro:backpack,False,0.05
G1A-CTK-R3-Brest-067,5,1.0,0.8812999248504638,outro:refrigerator,False,0.05
G1A-CTK-R3-Brest-072,5,1.0,0.8690917611122131,,False,0.0
G1A-CTK-R3-Brest-083,5,1.0,0.6246618270874024,,False,0.0
G1A-CTK-R3-Brest-084,5,1.0,0.7180021286010743,outro:refrigerator,False,0.05
G1A-CTK-R3-Brest-092,5,1.0,0.871446180343628,,False,0.0
G1A-CTK-R3-Brest-094,5,1.0,0.7357381463050843,outro:refrigerator,False,0.05
G1A-CTK-R3-Brest-102,5,1.0,0.8276733517646789,,False,0.0
G1A-CTK-R3-Brest-106,5,1.0,0.8722617983818054,outro:backpack,False,0.05
G1A-CTK-R4-Roscoff-007,5,0.2,0.5150191783905029,cadeira,True,0.6400000000000001
G1A-CTK-R4-Roscoff-010,5,0.0,0.0,cadeira,True,0.8
G1A-CTK-R4-Roscoff-019,5,1.0,0.776763641834259,,False,0.0
G1A-CTK-R4-Roscoff-041,5,1.0,0.8052822947502136,notebook|outro:tv,False,0.05
G1A-CTK-R4-Roscoff-044,5,1.0,0.8826242566108704,,False,0.0
G1A-CTK-R4-Roscoff-047,5,1.0,0.8598410129547119,notebook|outro:backpack,False,0.05
G1A-CTK-R4-Roscoff-052,5,0.0,0.0,cadeira,True,0.8
G1A-CTK-R4-Roscoff-053,5,1.0,0.7612531661987305,cadeira,False,0.0
G1A-CTK-R4-Roscoff-076,5,1.0,0.784154224395752,notebook|outro:backpack,False,0.05
G1A-CTK-R4-Roscoff-080,5,1.0,0.7942332029342651,cadeira,False,0.0
G1A-CTK-R4-Roscoff-081,5,0.0,0.0,cadeira,True,0.8
G1A-CTK-R4-Roscoff-087,5,1.0,0.8258650660514831,notebook,False,0.0
G1A-CTK-R4-Roscoff-089,5,1.0,0.7703003048896789,,False,0.0
G1A-CTK-R4-Roscoff-103,5,0.8,0.6985503137111664,cadeira,True,0.15999999999999998
G1A-CTK-R5-Roscoff-004,5,1.0,0.7519145846366883,cadeira|outro:book,False,0.05
G1A-CTK-R5-Roscoff-005,5,1.0,0.8947516918182373,cadeira|outro:tv,False,0.05
G1A-CTK-R5-Roscoff-016,5,1.0,0.7343776822090149,cadeira|mesa|outro:tv,False,0.05
G1A-CTK-R5-Roscoff-028,5,1.0,0.8064770579338074,cadeira|outro:book,False,0.05
G1A-CTK-R5-Roscoff-037,5,0.8,0.7303128689527512,cadeira,True,0.15999999999999998
G1A-CTK-R5-Roscoff-045,5,1.0,0.7744869470596314,cadeira|outro:book,False,0.05
G1A-CTK-R5-Roscoff-049,5,0.8,0.8113125860691071,cadeira|mesa|outro:tv|sofa,True,0.20999999999999996
G1A-CTK-R5-Roscoff-050,5,1.0,0.6210339486598968,cadeira,False,0.0
G1A-CTK-R5-Roscoff-058,5,0.8,0.740829348564148,cadeira,True,0.15999999999999998
G1A-CTK-R5-Roscoff-063,5,0.8,0.8084807991981506,cadeira|mesa|outro:tv|sofa,True,0.20999999999999996
G1A-CTK-R5-Roscoff-075,5,1.0,0.7645159363746643,cadeira|outro:book,False,0.05
G1A-CTK-R5-Roscoff-085,5,1.0,0.8399502158164978,outro:tv,False,0.05
G1A-CTK-R5-Roscoff-097,5,0.8,0.7829075902700424,cadeira|outro:tv|sofa,True,0.20999999999999996
G1A-CTK-R5-Roscoff-105,5,1.0,0.7310474514961243,cadeira|mesa|outro:tv,False,0.05
G1A-CTK-R6-Roscoff-006,5,0.8,0.46803976595401764,cadeira,True,0.15999999999999998
G1A-CTK-R6-Roscoff-017,5,0.2,0.42085790634155273,outro:tv,True,0.6900000000000002
G1A-CTK-R6-Roscoff-023,5,0.4,0.40590813755989075,cadeira,True,0.48
G1A-CTK-R6-Roscoff-027,5,0.6,0.5425210197766622,outro:tv,True,0.37000000000000005
G1A-CTK-R6-Roscoff-031,5,0.2,0.7723382115364075,outro:bicycle|outro:tv,True,0.7400000000000001
G1A-CTK-R6-Roscoff-035,5,1.0,0.6970738053321839,cadeira|outro:backpack,False,0.05
G1A-CTK-R6-Roscoff-040,5,0.4,0.7862952053546906,outro:bicycle|outro:tv,True,0.58
G1A-CTK-R6-Roscoff-060,5,0.8,0.7877327650785446,cadeira|outro:backpack,True,0.20999999999999996
G1A-CTK-R6-Roscoff-069,5,1.0,0.7208518624305725,cadeira|outro:backpack,False,0.05
G1A-CTK-R6-Roscoff-079,5,0.6,0.746611475944519,outro:bicycle|outro:tv,True,0.42000000000000004
G1A-CTK-R6-Roscoff-082,5,0.4,0.46772250533103943,cadeira,True,0.48
G1A-CTK-R6-Roscoff-098,5,1.0,0.6827223062515259,cadeira|outro:backpack|outro:handbag,False,0.1
G1A-CTK-R6-Roscoff-100,5,0.2,0.4737088084220886,outro:tv,True,0.6900000000000002
G1A-CTK-R6-Roscoff-101,5,0.0,0.0,outro:tv,True,0.8500000000000001
G1A-ELK-R1-Brest-003,5,1.0,0.7301593542098999,outro:umbrella,False,0.05
G1A-ELK-R1-Brest-014,5,1.0,0.7926882624626159,,False,0.0
G1A-ELK-R1-Brest-029,5,1.0,0.7847501754760742,,False,0.0
G1A-ELK-R1-Brest-041,5,0.6,0.6748523712158203,outro:umbrella,True,0.37000000000000005
G1A-ELK-R1-Brest-046,5,1.0,0.6138320326805115,,False,0.0
G1A-ELK-R1-Brest-048,5,1.0,0.7380284309387207,outro:umbrella,False,0.05
G1A-ELK-R1-Brest-049,5,1.0,0.7014244258403778,,False,0.0
G1A-ELK-R1-Brest-052,5,0.8,0.7635261714458466,,True,0.15999999999999998
G1A-ELK-R1-Brest-059,5,1.0,0.7480061411857605,,False,0.0
G1A-ELK-R1-Brest-062,5,0.8,0.629328154027462,,True,0.15999999999999998
G1A-ELK-R1-Brest-069,5,0.6,0.6864076654116312,,True,0.32000000000000006
G1A-ELK-R1-Brest-074,5,0.8,0.7004309743642807,outro:umbrella,True,0.20999999999999996
G1A-ELK-R1-Brest-075,5,1.0,0.6920135378837585,,False,0.0
G1A-ELK-R1-Brest-092,5,1.0,0.8003682494163513,,False,0.0
G1A-ELK-R2-Brest-001,5,1.0,0.6933384299278259,outro:refrigerator,False,0.05
G1A-ELK-R2-Brest-008,5,0.4,0.8052986264228821,cadeira,True,0.48
G1A-ELK-R2-Brest-012,5,0.8,0.6710132509469986,outro:refrigerator,True,0.20999999999999996
G1A-ELK-R2-Brest-017,5,1.0,0.6784611284732819,outro:suitcase,False,0.05
G1A-ELK-R2-Brest-027,5,1.0,0.7480305790901184,,False,0.0
G1A-ELK-R2-Brest-033,5,1.0,0.6697037220001221,outro:suitcase,False,0.05
G1A-ELK-R2-Brest-038,5,1.0,0.7875105977058411,,False,0.0
G1A-ELK-R2-Brest-039,5,0.4,0.6687835156917572,outro:refrigerator,True,0.53
G1A-ELK-R2-Brest-064,5,1.0,0.7383239388465881,,False,0.0
G1A-ELK-R2-Brest-067,5,0.8,0.7153948545455933,outro:refrigerator,True,0.20999999999999996
G1A-ELK-R2-Brest-073,5,1.0,0.8085754990577698,,False,0.0
G1A-ELK-R2-Brest-076,5,0.8,0.7465000003576279,outro:backpack|outro:suitcase,True,0.26
G1A-ELK-R2-Brest-079,5,0.8,0.6419919729232788,cadeira,True,0.15999999999999998
G1A-ELK-R2-Brest-087,5,1.0,0.8033189296722412,,False,0.0
G1A-ELK-R3-Brest-002,5,1.0,0.7589026927947998,,False,0.0
G1A-ELK-R3-Brest-011,5,0.8,0.6673653870820999,,True,0.15999999999999998
G1A-ELK-R3-Brest-013,5,1.0,0.6163228809833526,cadeira,False,0.0
G1A-ELK-R3-Brest-028,5,1.0,0.8898778200149536,,False,0.0
G1A-ELK-R3-Brest-034,5,0.8,0.7073449641466141,,True,0.15999999999999998
G1A-ELK-R3-Brest-035,5,1.0,0.8797817468643189,outro:backpack|outro:refrigerator,False,0.1
G1A-ELK-R3-Brest-040,5,1.0,0.7611900091171264,outro:refrigerator,False,0.05
G1A-ELK-R3-Brest-055,5,1.0,0.8823439359664917,outro:backpack,False,0.05
G1A-ELK-R3-Brest-061,5,0.6,0.716428796450297,,True,0.32000000000000006
G1A-ELK-R3-Brest-066,5,1.0,0.8539895415306091,outro:backpack,False,0.05
G1A-ELK-R3-Brest-070,5,1.0,0.8921600937843323,outro:backpack,False,0.05
G1A-ELK-R3-Brest-080,5,1.0,0.7500726819038391,outro:refrigerator,False,0.05
G1A-ELK-R3-Brest-083,5,1.0,0.8749772906303406,,False,0.0
G1A-ELK-R3-Brest-088,5,1.0,0.8939575552940369,,False,0.0
G1A-ELK-R4-Roscoff-004,5,1.0,0.8760730624198914,cadeira|sofa,False,0.0
G1A-ELK-R4-Roscoff-009,5,1.0,0.704353666305542,cadeira,False,0.0
G1A-ELK-R4-Roscoff-015,5,0.6,0.5372970600922903,cadeira,True,0.32000000000000006
G1A-ELK-R4-Roscoff-030,5,0.6,0.7026287913322449,cadeira,True,0.32000000000000006
G1A-ELK-R4-Roscoff-031,5,1.0,0.7247186422348022,cadeira,False,0.0
G1A-ELK-R4-Roscoff-036,5,1.0,0.7324841380119324,cadeira,False,0.0
G1A-ELK-R4-Roscoff-045,5,1.0,0.8677802920341492,notebook|outro:tv,False,0.05
G1A-ELK-R4-Roscoff-050,5,1.0,0.6061107039451599,cadeira,False,0.0
G1A-ELK-R4-Roscoff-051,5,1.0,0.8361411213874816,cadeira,False,0.0
G1A-ELK-R4-Roscoff-054,5,1.0,0.876370620727539,cadeira|mesa|outro:tv,False,0.05
G1A-ELK-R4-Roscoff-065,5,1.0,0.6271466374397278,cadeira,False,0.0
G1A-ELK-R4-Roscoff-082,5,1.0,0.8724495053291321,notebook|outro:book|outro:tv,False,0.1
G1A-ELK-R4-Roscoff-084,5,0.6,0.8497108618418375,notebook|outro:book,True,0.37000000000000005
G1A-ELK-R4-Roscoff-091,5,1.0,0.8784160375595093,notebook|outro:tv,False,0.05
G1A-ELK-R5-Roscoff-020,5,1.0,0.7907615423202514,cadeira,False,0.0
G1A-ELK-R5-Roscoff-022,5,0.8,0.6795897707343102,cadeira|mesa|outro:tv,True,0.20999999999999996
G1A-ELK-R5-Roscoff-024,5,0.6,0.6784920394420624,cadeira,True,0.32000000000000006
G1A-ELK-R5-Roscoff-025,5,0.6,0.5961118141810099,cadeira,True,0.32000000000000006
G1A-ELK-R5-Roscoff-026,5,1.0,0.7251977145671844,cadeira,False,0.0
G1A-ELK-R5-Roscoff-032,5,0.6,0.5799173812071482,cadeira,True,0.32000000000000006
G1A-ELK-R5-Roscoff-037,5,1.0,0.7304593443870544,cadeira|mesa|outro:tv,False,0.05
G1A-ELK-R5-Roscoff-042,5,1.0,0.664922684431076,cadeira|notebook,False,0.0
G1A-ELK-R5-Roscoff-047,5,1.0,0.7484574794769288,cadeira|outro:tv,False,0.05
G1A-ELK-R5-Roscoff-053,5,1.0,0.6891126275062561,cadeira|mesa|outro:tv,False,0.05
G1A-ELK-R5-Roscoff-058,5,0.8,0.8318848162889481,cadeira|mesa|outro:tv,True,0.20999999999999996
G1A-ELK-R5-Roscoff-063,5,0.6,0.5816661616166433,mesa|outro:tv|sofa,True,0.37000000000000005
G1A-ELK-R5-Roscoff-068,5,1.0,0.737411379814148,cadeira|mesa|outro:tv,False,0.05
G1A-ELK-R5-Roscoff-081,5,1.0,0.8387567639350891,cadeira,False,0.0
G1A-ELK-R6-Roscoff-006,5,1.0,0.6902911782264709,cadeira|outro:backpack|outro:remote,False,0.1
G1A-ELK-R6-Roscoff-010,5,1.0,0.8411002874374389,cadeira|outro:tv,False,0.05
G1A-ELK-R6-Roscoff-016,5,1.0,0.6745134830474854,cadeira|outro:backpack,False,0.05
G1A-ELK-R6-Roscoff-018,5,0.4,0.5420426577329636,outro:bicycle|outro:tv,True,0.58
G1A-ELK-R6-Roscoff-019,5,0.4,0.5805037021636963,outro:bicycle|outro:tv,True,0.58
G1A-ELK-R6-Roscoff-023,5,0.8,0.7382355481386185,outro:tv,True,0.20999999999999996
G1A-ELK-R6-Roscoff-043,5,0.8,0.7635380774736404,outro:tv,True,0.20999999999999996
G1A-ELK-R6-Roscoff-044,5,1.0,0.6019897341728211,outro:tv,False,0.05
G1A-ELK-R6-Roscoff-056,5,1.0,0.7511504888534546,outro:tv|sofa,False,0.05
G1A-ELK-R6-Roscoff-057,5,0.4,0.48094022274017334,outro:bicycle|outro:tv,True,0.58
G1A-ELK-R6-Roscoff-078,5,0.8,0.7080855667591095,outro:tv,True,0.20999999999999996
G1A-ELK-R6-Roscoff-086,5,0.8,0.7795911729335785,cadeira|outro:backpack,True,0.20999999999999996
G1A-ELK-R6-Roscoff-089,5,0.8,0.7020604014396667,cadeira|outro:backpack,True,0.20999999999999996
G1A-ELK-R6-Roscoff-090,5,0.8,0.5244098901748657,outro:tv,True,0.20999999999999996
G1A-RTK-R1-Brest-006,5,1.0,0.8366574287414551,,False,0.0
G1A-RTK-R1-Brest-012,5,1.0,0.8157641887664795,,False,0.0
G1A-RTK-R1-Brest-016,5,1.0,0.8507782697677613,outro:tv,False,0.05
G1A-RTK-R1-Brest-018,5,1.0,0.7262519598007202,,False,0.0
G1A-RTK-R1-Brest-019,5,1.0,0.8421766877174377,,False,0.0
G1A-RTK-R1-Brest-020,5,0.6,0.7022735675175985,outro:umbrella,True,0.37000000000000005
G1A-RTK-R1-Brest-024,5,0.8,0.737266406416893,,True,0.15999999999999998
G1A-RTK-R1-Brest-032,5,0.8,0.770906463265419,,True,0.15999999999999998
G1A-RTK-R1-Brest-055,5,0.8,0.6856773346662521,outro:umbrella,True,0.20999999999999996
G1A-RTK-R1-Brest-059,5,1.0,0.8398772239685058,,False,0.0
G1A-RTK-R1-Brest-073,5,0.8,0.7069365978240967,outro:umbrella,True,0.20999999999999996
G1A-RTK-R1-Brest-079,5,0.8,0.8256978541612625,,True,0.15999999999999998
G1A-RTK-R1-Brest-089,5,1.0,0.7396448731422425,outro:umbrella,False,0.05
G1A-RTK-R1-Brest-094,5,1.0,0.6552650272846222,,False,0.0
G1A-RTK-R2-Brest-004,5,1.0,0.7759066343307495,outro:backpack,False,0.05
G1A-RTK-R2-Brest-007,5,1.0,0.8745317339897156,outro:tv,False,0.05
G1A-RTK-R2-Brest-015,5,1.0,0.7551738262176514,cadeira,False,0.0
